time,driver_id,driver_name,vehicle_plate,mq3_value,photo_path

2025-04-15 07:57:10,TX001,Nguyen Van A,51A-12345,420,drunk_face_1744678629.jpg
2025-04-15 07:57:50,TX001,Nguyen Van A,51A-12345,418,drunk_face_1744678669.jpg
2025-04-15 07:58:30,TX001,Nguyen Van A,51A-12345,416,drunk_face_1744678709.jpg
2025-04-15 07:59:11,TX001,Nguyen Van A,51A-12345,412,drunk_face_1744678749.jpg
2025-04-15 07:59:51,TX001,Nguyen Van A,51A-12345,410,drunk_face_1744678789.jpg
2025-04-15 08:01:32,TX001,Nguyen Van A,51A-12345,407,drunk_face_1744678890.jpg
2025-04-15 08:02:12,TX001,Nguyen Van A,51A-12345,403,drunk_face_1744678930.jpg
2025-04-15 08:09:14,TX001,Nguyen Van A,51A-12345,453,drunk_face_1744679352.jpg
2025-04-15 08:09:53,TX001,Nguyen Van A,51A-12345,421,drunk_face_1744679392.jpg
2025-04-15 11:04:03,TX001,Nguyen Van A,51A-12345,640,drunk_face_1744689842.jpg
2025-04-15 11:04:43,TX001,Nguyen Van A,51A-12345,608,drunk_face_1744689882.jpg
2025-04-15 11:05:23,TX001,Nguyen Van A,51A-12345,598,drunk_face_1744689922.jpg
2025-04-15 11:06:03,TX001,Nguyen Van A,51A-12345,401,drunk_face_1744689962.jpg
